"nodeID_from"	"nodeID_to"	"line"	"year"
126	22	"line1"	1935
22	93	"line1"	1935
93	111	"line1"	1935
111	49	"line1"	1935
49	44	"line1"	1935
44	47	"line1"	1935
47	24	"line1"	1935
24	57	"line1"	1935
57	73	"line1"	1935
73	3	"line1"	1935
3	51	"line1"	1935
51	78	"line1"	1935
78	34	"line1"	1935
34	112	"line1"	1935
112	134	"line1"	1935
134	127	"line1"	1935
127	96	"line1"	1935
96	139	"line1"	1935
119	24	"line10"	1995
24	25	"line10"	1995
25	89	"line10"	1995
89	50	"line10"	1995
50	30	"line10"	1995
30	46	"line10"	1995
46	82	"line10"	1995
82	133	"line10"	1995
133	58	"line10"	1995
58	19	"line10"	1995
19	60	"line10"	1995
40	128	"line11"	1995
128	36	"line11"	1995
97	131	"line2"	1938
131	135	"line2"	1938
135	110	"line2"	1938
110	1	"line2"	1938
1	26	"line2"	1938
26	15	"line2"	1938
15	61	"line2"	1938
61	21	"line2"	1938
21	73	"line2"	1938
73	71	"line2"	1938
71	81	"line2"	1938
81	9	"line2"	1938
9	43	"line2"	1938
43	40	"line2"	1938
40	39	"line2"	1938
39	120	"line2"	1938
120	76	"line2"	1938
76	29	"line2"	1938
29	48	"line2"	1938
104	84	"line3"	1938
84	35	"line3"	1938
35	80	"line3"	1938
80	101	"line3"	1938
101	31	"line3"	1938
31	13	"line3"	1938
13	25	"line3"	1938
25	73	"line3"	1938
73	3	"line3"	1938
3	109	"line3"	1938
109	42	"line3"	1938
42	79	"line3"	1938
52	65	"line4"	1958
65	53	"line4"	1958
53	87	"line4"	1958
87	33	"line4"	1958
33	11	"line4"	1958
11	32	"line4"	1958
32	54	"line4"	1958
54	114	"line4"	1958
114	42	"line4"	1958
42	108	"line4"	1958
108	7	"line4"	1958
7	3	"line4"	1958
78	74	"line5"	1950
74	28	"line5"	1950
28	81	"line5"	1950
81	59	"line5"	1950
59	25	"line5"	1950
25	44	"line5"	1950
44	95	"line5"	1950
95	63	"line5"	1950
63	15	"line5"	1950
15	12	"line5"	1950
12	42	"line5"	1950
42	78	"line5"	1950
62	10	"line6"	1958
10	116	"line6"	1958
116	18	"line6"	1958
18	129	"line6"	1958
129	4	"line6"	1958
4	98	"line6"	1958
98	95	"line6"	1958
95	115	"line6"	1958
115	24	"line6"	1958
24	41	"line6"	1958
41	71	"line6"	1958
71	74	"line6"	1958
74	102	"line6"	1958
102	56	"line6"	1958
56	2	"line6"	1958
2	94	"line6"	1958
94	69	"line6"	1958
69	37	"line6"	1958
37	16	"line6"	1958
16	45	"line6"	1958
45	123	"line6"	1958
123	138	"line6"	1958
138	72	"line6"	1958
88	106	"line7"	1966
106	122	"line7"	1966
122	103	"line7"	1966
103	75	"line7"	1966
75	90	"line7"	1966
90	14	"line7"	1966
14	124	"line7"	1966
124	12	"line7"	1966
12	21	"line7"	1966
21	57	"line7"	1966
57	41	"line7"	1966
41	59	"line7"	1966
59	50	"line7"	1966
50	132	"line7"	1966
132	117	"line7"	1966
117	55	"line7"	1966
55	99	"line7"	1966
99	136	"line7"	1966
70	83	"line8"	1979
83	105	"line8"	1979
105	8	"line8"	1979
8	89	"line8"	1979
89	59	"line8"	1979
59	71	"line8"	1979
5	17	"line9"	1983
17	77	"line9"	1983
77	130	"line9"	1983
130	86	"line9"	1983
86	118	"line9"	1983
118	27	"line9"	1983
27	100	"line9"	1983
100	63	"line9"	1983
63	119	"line9"	1983
119	21	"line9"	1983
21	3	"line9"	1983
3	91	"line9"	1983
91	28	"line9"	1983
28	121	"line9"	1983
121	66	"line9"	1983
66	67	"line9"	1983
67	68	"line9"	1983
68	36	"line9"	1983
36	23	"line9"	1983
23	140	"line9"	1983
140	92	"line9"	1983
92	125	"line9"	1983
125	6	"line9"	1983
6	20	"line9"	1983
