"nodeID_from"	"nodeID_to"	"line"	"year"
414	69	"line1"	1904
69	67	"line1"	1904
67	329	"line1"	1904
329	62	"line1"	1904
62	59	"line1"	1904
59	237	"line1"	1904
237	58	"line1"	1904
58	49	"line1"	1904
49	41	"line1"	1904
41	36	"line1"	1904
36	25	"line1"	1904
25	23	"line1"	1904
23	17	"line1"	1904
17	15	"line1"	1904
15	207	"line1"	1904
207	1	"line1"	1904
1	137	"line1"	1904
137	130	"line1"	1904
130	124	"line1"	1904
124	118	"line1"	1904
118	113	"line1"	1904
113	110	"line1"	1904
110	100	"line1"	1904
100	410	"line1"	1904
410	85	"line1"	1904
85	78	"line1"	1904
78	70	"line1"	1904
70	56	"line1"	1904
56	31	"line1"	1904
31	214	"line1"	1904
214	290	"line1"	1904
290	201	"line1"	1904
201	269	"line1"	1904
269	211	"line1"	1904
211	226	"line1"	1904
226	379	"line1"	1904
379	397	"line1"	1904
419	347	"line2"	1904
347	68	"line2"	1904
68	66	"line2"	1904
66	63	"line2"	1904
63	283	"line2"	1904
283	198	"line2"	1904
198	141	"line2"	1904
141	368	"line2"	1904
368	193	"line2"	1904
193	242	"line2"	1904
242	423	"line2"	1904
423	45	"line2"	1904
45	270	"line2"	1904
270	394	"line2"	1904
394	296	"line2"	1904
296	373	"line2"	1904
373	298	"line2"	1904
298	409	"line2"	1904
409	28	"line2"	1904
28	21	"line2"	1904
21	18	"line2"	1904
18	12	"line2"	1904
12	209	"line2"	1904
209	137	"line2"	1904
137	130	"line2"	1904
130	124	"line2"	1904
124	118	"line2"	1904
118	113	"line2"	1904
113	110	"line2"	1904
110	100	"line2"	1904
100	410	"line2"	1904
410	85	"line2"	1904
85	78	"line2"	1904
78	70	"line2"	1904
70	56	"line2"	1904
56	31	"line2"	1904
31	214	"line2"	1904
214	290	"line2"	1904
290	201	"line2"	1904
201	269	"line2"	1904
269	211	"line2"	1904
211	362	"line2"	1904
362	273	"line2"	1904
273	420	"line2"	1904
420	219	"line2"	1904
219	228	"line2"	1904
228	292	"line2"	1904
292	348	"line2"	1904
348	148	"line2"	1904
148	178	"line2"	1904
178	276	"line2"	1904
276	245	"line2"	1904
245	267	"line2"	1904
267	371	"line2"	1904
371	402	"line2"	1904
402	428	"line2"	1904
428	215	"line2"	1904
215	181	"line2"	1904
181	352	"line2"	1904
352	196	"line2"	1904
287	26	"line3"	1904
26	21	"line3"	1904
21	18	"line3"	1904
18	12	"line3"	1904
12	209	"line3"	1904
209	137	"line3"	1904
137	118	"line3"	1904
118	410	"line3"	1904
410	85	"line3"	1904
85	31	"line3"	1904
31	211	"line3"	1904
211	362	"line3"	1904
362	273	"line3"	1904
273	420	"line3"	1904
420	219	"line3"	1904
219	228	"line3"	1904
228	292	"line3"	1904
292	348	"line3"	1904
348	148	"line3"	1904
148	178	"line3"	1904
178	276	"line3"	1904
276	245	"line3"	1904
245	267	"line3"	1904
267	358	"line3"	1904
358	313	"line3"	1904
313	230	"line3"	1904
230	406	"line3"	1904
406	387	"line3"	1904
387	381	"line3"	1904
381	306	"line3"	1904
306	370	"line3"	1904
370	415	"line3"	1904
415	349	"line3"	1904
431	339	"line4"	1904
339	176	"line4"	1904
176	311	"line4"	1904
311	259	"line4"	1904
259	52	"line4"	1904
52	199	"line4"	1904
199	48	"line4"	1904
48	340	"line4"	1904
340	43	"line4"	1904
43	40	"line4"	1904
40	38	"line4"	1904
38	28	"line4"	1904
28	24	"line4"	1904
24	19	"line4"	1904
19	13	"line4"	1904
13	7	"line4"	1904
7	2	"line4"	1904
2	138	"line4"	1904
138	131	"line4"	1904
131	122	"line4"	1904
122	115	"line4"	1904
115	319	"line4"	1904
319	103	"line4"	1904
103	278	"line4"	1904
278	82	"line4"	1904
82	79	"line4"	1904
79	71	"line4"	1904
71	33	"line4"	1904
33	144	"line4"	1904
144	182	"line4"	1904
182	398	"line4"	1904
398	202	"line4"	1904
202	195	"line4"	1904
195	273	"line4"	1904
273	421	"line4"	1904
421	184	"line4"	1904
184	228	"line4"	1904
228	348	"line4"	1904
348	148	"line4"	1904
148	178	"line4"	1904
178	276	"line4"	1904
276	245	"line4"	1904
