"nodeID_from"	"nodeID_to"	"line"	"year"
133	89	"ligne1"	1960
89	115	"ligne1"	1960
115	203	"ligne1"	1960
203	26	"ligne1"	1960
26	193	"ligne1"	1960
193	157	"ligne1"	1960
157	98	"ligne1"	1960
98	18	"ligne1"	1960
18	162	"ligne1"	1960
162	37	"ligne1"	1960
37	194	"ligne1"	1960
194	120	"ligne1"	1960
120	122	"ligne1"	1960
122	43	"ligne1"	1960
43	10	"ligne1"	1960
10	86	"ligne1"	1960
86	9	"ligne1"	1960
9	50	"ligne1"	1960
50	149	"ligne1"	1960
90	185	"ligne10"	1991
185	184	"ligne10"	1991
184	13	"ligne10"	1991
13	153	"ligne10"	1991
153	198	"ligne10"	1991
198	107	"ligne10"	1991
107	223	"ligne10"	1991
223	51	"ligne10"	1991
51	53	"ligne10"	1991
53	83	"ligne10"	1991
83	202	"ligne10"	1991
202	47	"ligne10"	1991
47	82	"ligne10"	1991
82	135	"ligne10"	1991
135	142	"ligne10"	1991
142	143	"ligne10"	1991
143	163	"ligne10"	1991
163	2	"ligne10"	1991
110	138	"ligne11"	1964
138	192	"ligne11"	1964
192	222	"ligne11"	1964
222	62	"ligne11"	1964
62	53	"ligne11"	1964
53	85	"ligne11"	1964
85	196	"ligne11"	1964
196	150	"ligne11"	1964
150	120	"ligne11"	1964
120	69	"ligne11"	1964
69	101	"ligne11"	1964
101	70	"ligne11"	1964
70	207	"ligne11"	1964
207	96	"ligne11"	1964
96	125	"ligne11"	1964
125	66	"ligne11"	1964
66	217	"ligne11"	1964
217	94	"ligne11"	1964
94	27	"ligne11"	1964
27	105	"ligne11"	1964
105	15	"ligne11"	1964
15	124	"ligne11"	1964
221	17	"ligne12"	1974
17	16	"ligne12"	1974
16	35	"ligne12"	1974
35	45	"ligne12"	1974
45	84	"ligne12"	1974
84	159	"ligne12"	1974
159	64	"ligne12"	1974
64	54	"ligne12"	1974
54	38	"ligne12"	1974
38	25	"ligne12"	1974
