"nodeID_from"	"nodeID_to"	"line"	"year"
14	20	"line1"	1933
20	79	"line1"	1933
79	60	"line1"	1933
60	52	"line1"	1933
52	103	"line1"	1933
103	105	"line1"	1933
105	25	"line1"	1933
25	81	"line1"	1933
81	54	"line1"	1933
54	8	"line1"	1933
8	11	"line1"	1933
11	99	"line1"	1933
99	84	"line1"	1933
84	62	"line1"	1933
62	48	"line1"	1933
48	2	"line1"	1933
2	34	"line1"	1933
34	80	"line1"	1933
80	51	"line1"	1933
9	44	"line2"	1967
44	86	"line2"	1967
86	74	"line2"	1967
74	73	"line2"	1967
73	64	"line2"	1967
64	43	"line2"	1967
43	98	"line2"	1967
98	53	"line2"	1967
53	21	"line2"	1967
21	42	"line2"	1967
42	96	"line2"	1967
96	95	"line2"	1967
95	94	"line2"	1967
94	93	"line2"	1967
93	82	"line2"	1967
82	99	"line2"	1967
99	1	"line2"	1967
1	17	"line2"	1967
17	92	"line2"	1967
92	36	"line2"	1967
36	24	"line2"	1967
24	30	"line2"	1967
30	10	"line2"	1967
10	46	"line2"	1967
46	104	"line2"	1967
59	22	"line3"	1942
22	25	"line3"	1942
25	107	"line3"	1942
107	54	"line3"	1942
54	8	"line3"	1942
8	19	"line3"	1942
19	31	"line3"	1942
31	89	"line3"	1942
89	35	"line3"	1942
35	85	"line3"	1942
6	67	"line4"	1961
67	3	"line4"	1961
3	5	"line4"	1961
5	37	"line4"	1961
37	4	"line4"	1961
4	25	"line4"	1961
25	70	"line4"	1961
70	95	"line4"	1961
95	45	"line4"	1961
45	40	"line4"	1961
40	16	"line4"	1961
16	88	"line4"	1961
88	49	"line4"	1961
63	90	"line5"	1969
90	4	"line5"	1969
4	58	"line5"	1969
58	71	"line5"	1969
71	54	"line5"	1969
54	57	"line5"	1969
57	93	"line5"	1969
93	101	"line5"	1969
101	27	"line5"	1969
27	78	"line5"	1969
78	83	"line5"	1969
83	32	"line5"	1969
32	41	"line5"	1969
98	65	"line6"	1969
65	42	"line6"	1969
42	33	"line6"	1969
33	70	"line6"	1969
70	47	"line6"	1969
47	57	"line6"	1969
57	13	"line6"	1969
13	11	"line6"	1969
11	97	"line6"	1969
87	12	"line7"	1990
12	58	"line7"	1990
58	61	"line7"	1990
61	81	"line7"	1990
81	47	"line7"	1990
47	39	"line7"	1990
39	94	"line7"	1990
94	91	"line7"	1990
91	45	"line7"	1990
45	66	"line7"	1990
66	38	"line7"	1990
38	18	"line7"	1990
18	26	"line7"	1990
26	106	"line7"	1990
106	102	"line7"	1990
102	29	"line7"	1990
28	108	"line8"	2006
108	7	"line8"	2006
7	86	"line8"	2006
86	76	"line8"	2006
76	77	"line8"	2006
77	72	"line8"	2006
72	18	"line8"	2006
18	75	"line8"	2006
75	40	"line8"	2006
40	27	"line8"	2006
