"nodeID_from"	"nodeID_to"	"line"	"year"
118	292	"ancienneligne10"	1923
292	262	"ancienneligne10"	1923
262	84	"ancienneligne10"	1923
84	291	"ancienneligne10"	1923
291	277	"ancienneligne10"	1923
118	292	"ancienneligne14"	1923
292	262	"ancienneligne14"	1923
262	84	"ancienneligne14"	1923
84	177	"ancienneligne14"	1923
177	101	"ancienneligne14"	1923
101	195	"ancienneligne14"	1923
195	204	"ancienneligne14"	1923
204	226	"ancienneligne14"	1923
122	88	"ancienneligne8"	1913
88	169	"ancienneligne8"	1913
169	212	"ancienneligne8"	1913
212	170	"ancienneligne8"	1913
170	48	"ancienneligne8"	1913
48	172	"ancienneligne8"	1913
172	122	"ancienneligne8"	1913
122	51	"ancienneligne8"	1913
51	13	"ancienneligne8"	1913
13	132	"ancienneligne8"	1913
132	85	"ancienneligne8"	1913
85	134	"ancienneligne8"	1913
134	118	"ancienneligne8"	1913
118	66	"ancienneligne8"	1913
129	90	"ligne1"	1900
90	207	"ligne1"	1900
207	142	"ligne1"	1900
142	233	"ligne1"	1900
233	7	"ligne1"	1900
7	50	"ligne1"	1900
50	109	"ligne1"	1900
109	99	"ligne1"	1900
99	47	"ligne1"	1900
47	66	"ligne1"	1900
66	290	"ligne1"	1900
290	188	"ligne1"	1900
188	148	"ligne1"	1900
148	57	"ligne1"	1900
57	116	"ligne1"	1900
116	270	"ligne1"	1900
270	18	"ligne1"	1900
18	106	"ligne1"	1900
106	247	"ligne1"	1900
247	179	"ligne1"	1900
179	228	"ligne1"	1900
228	267	"ligne1"	1900
267	21	"ligne1"	1900
21	54	"ligne1"	1900
35	34	"ligne10"	1913
34	170	"ligne10"	1913
170	48	"ligne10"	1913
48	172	"ligne10"	1913
172	122	"ligne10"	1913
122	51	"ligne10"	1913
122	88	"ligne10"	1913
88	169	"ligne10"	1913
169	212	"ligne10"	1913
212	34	"ligne10"	1913
51	13	"ligne10"	1913
13	132	"ligne10"	1913
132	275	"ligne10"	1913
275	84	"ligne10"	1913
84	291	"ligne10"	1913
291	277	"ligne10"	1913
277	149	"ligne10"	1913
149	184	"ligne10"	1913
184	63	"ligne10"	1913
63	167	"ligne10"	1913
167	44	"ligne10"	1913
44	125	"ligne10"	1913
125	104	"ligne10"	1913
154	225	"ligne11"	1935
225	284	"ligne11"	1935
284	201	"ligne11"	1935
201	123	"ligne11"	1935
