"nodeID_from"	"nodeID_to"	"line"	"year"
49	199	"line1"	1995
199	5	"line1"	1995
5	52	"line1"	1995
52	75	"line1"	1995
75	188	"line1"	1995
188	53	"line1"	1995
53	135	"line1"	1995
135	192	"line1"	1995
192	152	"line1"	1995
152	214	"line1"	1995
214	133	"line1"	1995
133	155	"line1"	1995
155	62	"line1"	1995
62	211	"line1"	1995
211	136	"line1"	1995
136	177	"line1"	1995
177	179	"line1"	1995
179	21	"line1"	1995
21	64	"line1"	1995
64	213	"line1"	1995
213	153	"line1"	1995
153	12	"line1"	1995
12	157	"line1"	1995
157	86	"line1"	1995
86	99	"line1"	1995
99	134	"line1"	1995
134	212	"line1"	1995
209	46	"line10"	2010
46	146	"line10"	2010
146	80	"line10"	2010
80	200	"line10"	2010
200	57	"line10"	2010
57	189	"line10"	2010
189	169	"line10"	2010
169	221	"line10"	2010
221	58	"line10"	2010
58	130	"line10"	2010
130	186	"line10"	2010
186	44	"line10"	2010
44	227	"line10"	2010
227	97	"line10"	2010
97	210	"line10"	2010
210	179	"line10"	2010
179	154	"line10"	2010
154	83	"line10"	2010
83	69	"line10"	2010
69	175	"line10"	2010
175	218	"line10"	2010
218	167	"line10"	2010
167	108	"line10"	2010
108	161	"line10"	2010
161	66	"line10"	2010
66	67	"line10"	2010
67	68	"line10"	2010
108	105	"line10"	2010
105	239	"line10"	2010
239	61	"line10"	2010
79	107	"line11"	2009
107	15	"line11"	2009
15	48	"line11"	2009
48	232	"line11"	2009
232	160	"line11"	2009
160	104	"line11"	2009
104	143	"line11"	2009
143	202	"line11"	2009
202	185	"line11"	2009
185	126	"line11"	2009
126	117	"line11"	2009
117	76	"line11"	2009
76	4	"line11"	2009
4	195	"line11"	2009
195	128	"line11"	2009
76	151	"line11"	2009
151	149	"line11"	2009
149	3	"line11"	2009
45	68	"line2"	1999
68	67	"line2"	1999
67	172	"line2"	1999
172	9	"line2"	1999
9	190	"line2"	1999
190	110	"line2"	1999
110	234	"line2"	1999
234	79	"line2"	1999
79	85	"line2"	1999
85	196	"line2"	1999
196	136	"line2"	1999
136	44	"line2"	1999
44	114	"line2"	1999
114	38	"line2"	1999
38	16	"line2"	1999
16	156	"line2"	1999
156	17	"line2"	1999
17	109	"line2"	1999
109	229	"line2"	1999
229	87	"line2"	1999
87	54	"line2"	1999
54	184	"line2"	1999
184	119	"line2"	1999
119	43	"line2"	1999
43	26	"line2"	1999
26	100	"line2"	1999
100	223	"line2"	1999
223	59	"line2"	1999
59	140	"line2"	1999
129	187	"line3"	2000
187	222	"line3"	2000
222	7	"line3"	2000
7	166	"line3"	2000
166	170	"line3"	2000
170	228	"line3"	2000
228	171	"line3"	2000
171	176	"line3"	2000
176	198	"line3"	2000
198	81	"line3"	2000
81	28	"line3"	2000
28	24	"line3"	2000
24	65	"line3"	2000
65	37	"line3"	2000
37	6	"line3"	2000
6	155	"line3"	2000
155	235	"line3"	2000
235	231	"line3"	2000
231	15	"line3"	2000
15	90	"line3"	2000
90	234	"line3"	2000
234	197	"line3"	2000
197	69	"line3"	2000
69	220	"line3"	2000
220	14	"line3"	2000
14	106	"line3"	2000
106	165	"line3"	2000
165	157	"line3"	2000
220	153	"line4"	2005
153	158	"line4"	2005
158	36	"line4"	2005
36	32	"line4"	2005
32	111	"line4"	2005
111	181	"line4"	2005
181	125	"line4"	2005
125	183	"line4"	2005
183	95	"line4"	2005
95	138	"line4"	2005
138	16	"line4"	2005
16	139	"line4"	2005
139	215	"line4"	2005
215	31	"line4"	2005
31	102	"line4"	2005
102	58	"line4"	2005
58	6	"line4"	2005
6	155	"line4"	2005
155	235	"line4"	2005
235	231	"line4"	2005
231	15	"line4"	2005
15	90	"line4"	2005
90	234	"line4"	2005
234	197	"line4"	2005
197	69	"line4"	2005
69	220	"line4"	2005
212	27	"line5"	2003
27	219	"line5"	2003
219	238	"line5"	2003
238	8	"line5"	2003
8	77	"line5"	2003
77	39	"line5"	2003
39	88	"line5"	2003
88	74	"line5"	2003
74	191	"line5"	2003
191	122	"line5"	2003
50	131	"line6"	2007
131	60	"line6"	2007
60	180	"line6"	2007
180	237	"line6"	2007
237	203	"line6"	2007
203	41	"line6"	2007
41	94	"line6"	2007
94	201	"line6"	2007
201	11	"line6"	2007
11	89	"line6"	2007
89	225	"line6"	2007
225	35	"line6"	2007
35	10	"line6"	2007
10	123	"line6"	2007
123	224	"line6"	2007
224	16	"line6"	2007
16	137	"line6"	2007
137	95	"line6"	2007
95	150	"line6"	2007
150	103	"line6"	2007
103	193	"line6"	2007
193	42	"line6"	2007
42	51	"line6"	2007
51	194	"line6"	2007
194	162	"line6"	2007
162	178	"line6"	2007
178	93	"line6"	2007
118	115	"line7"	2009
115	55	"line7"	2009
55	159	"line7"	2009
159	124	"line7"	2009
124	148	"line7"	2009
148	22	"line7"	2009
22	29	"line7"	2009
29	207	"line7"	2009
207	30	"line7"	2009
30	206	"line7"	2009
206	96	"line7"	2009
96	231	"line7"	2009
231	20	"line7"	2009
20	18	"line7"	2009
18	85	"line7"	2009
85	21	"line7"	2009
21	230	"line7"	2009
230	36	"line7"	2009
36	25	"line7"	2009
25	70	"line7"	2009
70	19	"line7"	2009
19	217	"line7"	2009
217	226	"line7"	2009
226	193	"line7"	2009
193	182	"line7"	2009
182	91	"line7"	2009
91	47	"line7"	2009
47	109	"line7"	2009
109	71	"line7"	2009
164	127	"line8"	2007
127	204	"line8"	2007
204	72	"line8"	2007
72	121	"line8"	2007
121	73	"line8"	2007
73	78	"line8"	2007
78	2	"line8"	2007
2	169	"line8"	2007
169	145	"line8"	2007
145	65	"line8"	2007
65	132	"line8"	2007
132	236	"line8"	2007
236	144	"line8"	2007
144	136	"line8"	2007
136	34	"line8"	2007
34	97	"line8"	2007
97	113	"line8"	2007
113	181	"line8"	2007
181	217	"line8"	2007
217	23	"line8"	2007
23	216	"line8"	2007
216	93	"line8"	2007
93	101	"line8"	2007
101	112	"line8"	2007
112	141	"line8"	2007
141	82	"line8"	2007
82	98	"line8"	2007
98	1	"line8"	2007
174	173	"line9"	2007
173	40	"line9"	2007
40	163	"line9"	2007
163	168	"line9"	2007
168	92	"line9"	2007
92	233	"line9"	2007
233	142	"line9"	2007
142	208	"line9"	2007
208	63	"line9"	2007
63	13	"line9"	2007
13	56	"line9"	2007
56	220	"line9"	2007
220	213	"line9"	2007
213	230	"line9"	2007
230	84	"line9"	2007
84	33	"line9"	2007
33	116	"line9"	2007
116	113	"line9"	2007
113	205	"line9"	2007
205	147	"line9"	2007
147	16	"line9"	2007
16	120	"line9"	2007
