"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"Aeroport"	55.800833	37.531111	1938
2	"Akademicheskaya"	55.687778	37.573333	1962
3	"AlexandrovskySad-Arbatskaya-BibliotekaImeniLenina-Borovitskaya"	55.751759	37.608406	1935
4	"Alexeyevskaya"	55.808889	37.638611	1958
5	"Altufyevo"	55.897778	37.586944	1994
6	"Annino"	55.583691	37.596781	2001
7	"Arbatskaya"	55.752133	37.601587	1935
8	"Aviamotornaya"	55.751944	37.719444	1979
9	"Avtozavodskaya"	55.707222	37.6575	1943
10	"Babushkinskaya"	55.869444	37.664444	1978
11	"Bagrationovskaya"	55.743772	37.497725	1961
12	"Barrikadnaya-Krasnopresnenskaya"	55.76048	37.579239	1954
13	"Baumanskaya"	55.773056	37.681667	1944
14	"Begovaya"	55.773589	37.547138	1972
15	"Belorusskaya"	55.776856	37.583845	1938
16	"Belyayevo"	55.642778	37.526111	1974
17	"Bibirevo"	55.884167	37.603056	1992
18	"BotanicheskySad"	55.845	37.638611	1978
19	"Bratislavskaya"	55.66	37.750278	1996
20	"BulvarDmitriyaDonskogo-UlitsaStarokachalovskaya"	55.569722	37.576111	2002
21	"Chekhovskaya-Pushkinskaya-Tverskaya"	55.76467	37.60556	1975
22	"Cherkizovskaya"	55.802778	37.744819	1990
23	"Chertanovskaya"	55.640709	37.605751	1983
24	"ChistiyePrudy-SretenskyBulvar-Turgenevskaya"	55.765492	37.637168	1935
25	"Chkalovskaya-Kurskaya"	55.757918	37.659538	1938
26	"Dinamo"	55.789722	37.558056	1938
27	"Dmitrovskaya"	55.806389	37.581667	1991
28	"Dobryninskaya-Serpukhovskaya"	55.72852	37.623476	1950
29	"Domodedovskaya"	55.610833	37.719722	1985
30	"Dubrovka"	55.717851	37.676557	1995
31	"Elektrozavodskaya"	55.782026	37.705221	1944
32	"Fili"	55.746806	37.513972	1959
33	"FilyovskyPark"	55.739553	37.483306	1961
34	"Frunzenskaya"	55.727222	37.580278	1957
35	"Izmaylovskaya"	55.787778	37.781667	1961
36	"Kakhovskaya-Sevastopolskaya"	55.652943	37.598476	1969
37	"Kaluzhskaya"	55.657222	37.540278	1974
38	"Kaluzhskaya(closed)"	55.658333	37.545278	1964
39	"Kantemirovskaya"	55.635833	37.656111	1984
40	"Kashirskaya"	55.655	37.648611	1969
41	"Kitay-Gorod"	55.755366	37.632	1971
42	"Kiyevskaya"	55.743398	37.564545	1953
43	"Kolomenskaya"	55.677778	37.663889	1969
44	"Komsomolskaya"	55.776486	37.656169	1935
45	"Konkovo"	55.63333	37.51917	1987
46	"Kozhukhovskaya"	55.706111	37.685278	1995
47	"KrasniyeVorota"	55.768611	37.65	1935
48	"Krasnogvardeyskaya"	55.613889	37.745	1985
49	"Krasnoselskaya"	55.779978	37.666036	1935
50	"KrestyanskayaZastava-Proletarskaya"	55.731967	37.667527	1966
51	"Kropotkinskaya"	55.744975	37.6015	1935
52	"Krylatskoe"	55.756667	37.407778	2008
53	"Kuntsevskaya"	55.730792	37.44593	1965
54	"Kutuzovskaya"	55.739989	37.534	1959
55	"Kuzminki"	55.705429	37.765682	1966
56	"LeninskyProspekt"	55.7075	37.586389	1962
57	"Lubyanka-KuznetskyMost"	55.760284	37.625861	1935
58	"Lyublino"	55.675556	37.761667	1996
59	"Marksistskaya-Taganskaya"	55.741913	37.654898	1950
60	"Maryino"	55.648889	37.743889	1996
61	"Mayakovskaya"	55.77	37.595833	1938
62	"Medvedkovo"	55.887222	37.661389	1978
63	"Mendeleyevskaya-Novoslobodskaya"	55.780788	37.600051	1952
64	"Mezhdunarodnaya"	55.748056	37.532778	2006
65	"Molodyozhnaya"	55.740833	37.416667	1965
66	"Nagatinskaya"	55.682729	37.621819	1983
67	"Nagornaya"	55.672981	37.61076	1983
68	"NakhimovskyProspekt"	55.662918	37.605257	1983
69	"NoviyeCheryomushki"	55.670278	37.554444	1962
70	"Novogireevo"	55.751667	37.817222	1979
71	"Novokuznetskaya-Tretyakovskaya"	55.740972	37.628472	1943
72	"Novoyasenevskaya"	55.601111	37.554167	1990
73	"OkhotnyiRyad-PloshchadRevolyutsii-Teatralnaya"	55.757315	37.618796	1935
74	"Oktyabrskaya"	55.729444	37.611111	1950
75	"OktyabrskoyePole"	55.793525	37.493406	1972
76	"Orekhovo"	55.613056	37.694722	1984
77	"Otradnoye"	55.863056	37.604722	1992
78	"ParkKultury"	55.735218	37.593185	1935
79	"ParkPobedy"	55.737012	37.513647	2003
80	"Partizanskaya"	55.788056	37.752222	1944
81	"Paveletskaya"	55.730556	37.636389	1943
82	"Pechatniki"	55.692927	37.727656	1995
83	"Perovo"	55.751111	37.786667	1979
84	"Pervomayskaya"	55.794444	37.799444	1961
85	"Pervomayskaya(closed)"	55.789444	37.774444	1954
86	"Petrovsko-Razumovskaya"	55.836944	37.574444	1991
87	"Pionerskaya"	55.736028	37.467058	1961
88	"Planernaya"	55.86065	37.436307	1975
89	"PloshchadIlicha-Rimskaya"	55.746838	37.680058	1979
90	"Polezhaevskaya"	55.777555	37.51894	1972
91	"Polyanka"	55.737778	37.618333	1986
92	"Prazhskaya"	55.61189	37.603812	1985
93	"PreobrazhenskayaPloshchad"	55.796111	37.715556	1965
94	"Profsoyuznaya"	55.678056	37.562778	1962
95	"ProspektMira"	55.780833	37.6325	1952
96	"ProspektVernadskogo"	55.676944	37.506111	1963
97	"RechnoiVokzal"	55.854722	37.476111	1964
98	"Rizhskaya"	55.792508	37.636186	1958
99	"RyazanskiyProspekt"	55.716948	37.793243	1966
100	"Savyolovskaya"	55.793611	37.5875	1988
101	"Semyonovskaya"	55.783056	37.722222	1944
102	"Shabolovskaya"	55.719722	37.608889	1980
103	"Shchukinskaya"	55.808508	37.464345	1975
104	"Shchyolkovskaya"	55.809444	37.798611	1963
105	"ShosseEntuziastov"	55.758056	37.749722	1979
106	"Skhodnenskaya"	55.850266	37.439932	1975
107	"SlavyanskyBulvar"	55.7281	37.4705	2008
108	"Smolenskaya-L4"	55.748955	37.582167	1935
109	"Smolenskaya-L3"	55.747733	37.583869	1953
110	"Sokol"	55.804722	37.515278	1938
111	"Sokolniki"	55.789236	37.679661	1935
112	"Sportivnaya"	55.723056	37.563611	1957
113	"Strogino"	55.805278	37.395555	2008
114	"Studencheskaya"	55.738811	37.548397	1959
115	"Sukharevskaya"	55.773056	37.632778	1971
116	"Sviblovo"	55.855278	37.652778	1978
117	"Tekstilshchiki"	55.70869	37.730729	1966
118	"Timiryazevskaya"	55.818056	37.576667	1991
119	"Trubnaya-TsvetnoyBulvar"	55.769584	37.621112	1988
120	"Tsaritsyno"	55.621667	37.669167	1984
121	"Tulskaya"	55.708611	37.6225	1983
122	"Tushinskaya"	55.826922	37.437357	1975
123	"TyoplyiStan"	55.619796	37.505876	1987
124	"Ulitsa1905Goda"	55.764762	37.56137	1972
125	"UlitsaAkademikaYangelya"	55.595721	37.592258	2000
126	"UlitsaPodbelskogo"	55.814444	37.733889	1990
127	"Universitet"	55.692	37.533	1959
128	"Varshavskaya"	55.653333	37.619444	1969
129	"VDNKh"	55.822283	37.641494	1958
130	"Vladykino"	55.847222	37.589722	1991
131	"VodnyStadion"	55.839722	37.486389	1964
132	"VolgogradskyProspekt"	55.7256	37.685165	1966
133	"Volzhskaya"	55.690556	37.755556	1995
134	"VorobyovyGory"	55.710544	37.559447	1958
135	"Voykovskaya"	55.819167	37.4975	1964
136	"Vykhino"	55.715804	37.818023	1966
137	"Vystavochnaya"	55.748611	37.538056	2005
138	"Yasenevo"	55.606111	37.533056	1990
139	"Yugo-Zapadnaya"	55.663611	37.482778	1963
140	"Yuzhnaya"	55.622298	37.608994	1983
