"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"103rdStreet1"	40.799419	-73.968158	1904
2	"103rdStreet46"	40.79029	-73.947687	1918
3	"103rdStreetABC"	40.79604	-73.96142	1932
4	"103rdStreetCoronaPlaza"	40.749881	-73.862733	1917
5	"104thStreet"	40.682233	-73.837352	1915
6	"104thStreetJZ"	40.695184	-73.843231	1917
7	"110thStreet"	40.794773	-73.944426	1918
8	"110thStreetCathedralParkway"	40.800524	-73.958244	1932
9	"111thStreet7"	40.751714	-73.855636	1925
10	"111thStreetA"	40.684673	-73.831129	1915
11	"111thStreetJZ"	40.696876	-73.837223	1917
12	"116thStreet23"	40.802	-73.95	1904
13	"116thStreet46"	40.798607	-73.942022	1918
14	"116thStreetABC"	40.804389	-73.955412	1932
15	"116thStreetColumbiaUniversity"	40.808	-73.964	1904
16	"121stStreet"	40.700357	-73.82894	1918
17	"125thStreet1"	40.815	-73.958	1904
18	"125thStreet23"	40.807	-73.945	1904
19	"125thStreet456"	40.804259	-73.937473	1918
20	"125thStreetABCD"	40.810756	-73.952665	1932
21	"135thStreet23"	40.814	-73.941	1904
22	"135thStreetABC"	40.81709	-73.94803	1932
23	"137thStreetCityCollege"	40.821	-73.954	1904
24	"138thStreetGrandConcourse"	40.81303	-73.929963	1918
25	"145thStreet1"	40.826	-73.95	1904
26	"145thStreet3"	40.82	-73.936	1904
27	"145thStreetABCD"	40.82404	-73.944769	1932
28	"149thStreetGrandConcourse"	40.818	-73.927	1905
29	"14thStreet_EighthAvenue"	40.739779	-74.002533	1931
30	"14thStreet_EighthAvenue"	40.739779	-74.002533	1932
31	"14thStreet123"	40.738	-73.999	1918
32	"14thStreetFV"	40.737328	-73.996798	1940
33	"14thStreetUnionSquare"	40.734722	-73.990278	1904
34	"155thStreetAC"	40.830859	-73.9414	1932
35	"155thStreetBD"	40.829917	-73.939104	1933
36	"157thStreet"	40.834	-73.944	1904
37	"15thStreetProspectPark"	40.660544	-73.979983	1933
38	"161stStreetYankeeStadium"	40.827937	-73.925886	1917
39	"163rdStreetAmsterdamAvenue"	40.836866	-73.940134	1932
40	"167thStreet"	40.835665	-73.921337	1917
41	"168thStreet"	40.841022	-73.939791	1906
42	"169thStreet"	40.710638	-73.793063	1937
43	"170thStreet4"	40.840178	-73.917732	1917
44	"170thStreetBD"	40.838814	-73.913741	1933
45	"174thStreet"	40.837	-73.888	1904
46	"174th175thStreets"	40.845892	-73.910179	1933
47	"175thStreet"	40.846541	-73.940091	1932
48	"176thStreet"	40.848619	-73.911767	1917
49	"181stStreet1"	40.849	-73.933	1906
50	"181stStreetA"	40.850891	-73.938289	1932
51	"182nd183rdStreets"	40.856766	-73.900309	1933
52	"183rdStreet"	40.858324	-73.903999	1917
53	"18thAvenueDM"	40.608667	-74.002115	1916
54	"18thAvenueF"	40.629625	-73.976964	1919
55	"18thAvenueN"	40.620019	-73.989444	1915
56	"18thStreet"	40.741	-73.998	1918
57	"190thStreet"	40.858986	-73.93404	1932
58	"191stStreet"	40.855	-73.929	1911
59	"207thStreet"	40.8644	-73.9189	1906
60	"20thAvenueDM"	40.604626	-73.998606	1916
61	"20thAvenueN"	40.617164	-73.984844	1915
62	"215thStreet"	40.869	-73.915	1906
63	"219thStreet"	40.883	-73.863	1917
64	"21stStreet"	40.744591	-73.948674	1933
65	"21stStreetQueensbridge"	40.753954	-73.942451	1989
66	"225thStreet"	40.888	-73.86	1917
67	"231stStreet"	40.879	-73.905	1907
68	"233rdStreet"	40.893	-73.857	1917
69	"238thStreet"	40.885097	-73.900609	1908
70	"23rdStreet12"	40.744	-73.996	1918
71	"23rdStreet46"	40.740169	-73.98644	1904
72	"23rdStreetACE"	40.745274	-73.998499	1932
73	"23rdStreetElyAvenue"	40.747615	-73.945069	1939
74	"23rdStreetFV"	40.742933	-73.992877	1940
75	"23rdStreetNRW"	40.741339	-73.989272	1918
76	"25thAvenue"	40.598607	-73.987352	1916
77	"25thStreet"	40.661165	-73.998778	1915
78	"28thStreet12"	40.747	-73.9935	1918
79	"28thStreet46"	40.74329	-73.984165	1904
80	"28thStreetNRW"	40.745241	-73.988757	1918
81	"30thAvenue"	40.766859	-73.921423	1917
82	"33rdStreet"	40.746389	-73.981944	1904
83	"33rdStreetRawsonStreet"	40.744617	-73.931306	1917
