"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"Akabane"	35.778056	139.720833	1885
2	"Akabane-Iwabuchi"	35.783333	139.722222	1991
3	"Akabanebashi"	35.655003	139.743617	2000
4	"Akasaka"	35.672363	139.736534	1972
5	"Akasaka-mitsuke"	35.677021	139.737047	1938
6	"Akebonobashi"	35.692402	139.722881	1980
7	"Akihabara"	35.69824	139.773731	1890
8	"Aoyama-itchome"	35.672922	139.724278	1938
9	"Asakusa"	35.711944	139.798333	1927
10	"Asakusabashi"	35.697	139.786	1932
11	"Awajicho"	35.695434	139.767575	1956
12	"Ayase"	35.762214	139.824914	1979
13	"Azabu-Juban"	35.654682	139.737051	2000
14	"Bakuro-yokoyama"	35.69212	139.782768	1978
15	"Baraki-nakayama"	35.7032	139.941876	1969
16	"Chikatetsu-Akatsuka"	35.769939	139.644021	1983
17	"Chikatetsu-Narimasu"	35.776557	139.631497	1983
18	"Daimon"	35.656785	139.75466	1964
19	"Ebisu"	35.646643	139.710045	1901
20	"Edogawabashi"	35.709481	139.733538	1974
21	"Funabori"	35.683732	139.864333	1983
22	"Gaienmae"	35.670527	139.717857	1938
23	"Ginza"	35.67123	139.765	1934
24	"Ginza-itchome"	35.674346	139.767047	1974
25	"Gokokuji"	35.718991	139.727573	1974
26	"Gotanda"	35.625855	139.72374	1911
27	"Gyotoku"	35.682558	139.914235	1969
28	"Hakusan"	35.72133	139.752078	1972
29	"Hamacho"	35.688516	139.788154	1978
30	"Hamamatsucho"	35.65523	139.757627	1909
31	"Hanzomon"	35.685692	139.741657	1982
32	"Harajuku"	35.669444	139.7025	1906
33	"Hasune"	35.784174	139.67904	1968
34	"Hatchobori"	35.671327	139.780703	1963
35	"Heiwadai"	35.759	139.654	1983
36	"Hibiya"	35.675114	139.759765	1964
37	"Higashi-Ginza"	35.669464	139.767253	1963
38	"Higashi-Ikebukuro"	35.725228	139.720194	1974
39	"Higashi-Koenji"	35.697802	139.657822	1964
40	"Higashi-Nakano"	35.706	139.686	2000
41	"Higashi-Ojima"	35.690347	139.84596	1978
42	"Higashi-Shinjuku"	35.697922	139.707631	2000
43	"Higashi-nihombashi"	35.692126	139.784821	1962
44	"Hikarigaoka"	35.758526	139.628603	1991
45	"Hikawadai"	35.749822	139.665023	1983
46	"Hiroo"	35.652279	139.722227	1964
47	"Hon-Komagome"	35.724155	139.753828	1996
48	"Honancho"	35.683496	139.656498	1962
49	"Hongo-Sanchome"	35.706671	139.759914	1972
50	"Honjo-azumabashi"	35.708599	139.804652	1960
51	"Ichigaya"	35.691111	139.735556	1895
52	"Ichinoe"	35.686055	139.882934	1986
53	"Iidabashi"	35.701944	139.745	1928
54	"Ikebukuro"	35.730278	139.711389	1903
55	"Inaricho"	35.711352	139.782734	1927
56	"Iriya"	35.720734	139.784542	1962
57	"Itabashi-honcho"	35.761339	139.705535	1968
58	"Itabashi-kuyakushomae"	35.751326	139.710166	1968
59	"Iwamotocho"	35.695534	139.775866	1978
60	"Jimbocho"	35.695492	139.75812	1972
