"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"Abeno"	34.641943	135.511873	1967
2	"Abiko"	34.598964	135.512783	1933
3	"Asashiobashi"	34.660833	135.448889	1961
4	"Awaza"	34.681484	135.486295	1961
5	"Bentencho"	34.669083	135.462667	1961
6	"Cosmosquare"	34.643056	135.4125	1961
7	"Daido-Toyosato"	34.7438	135.5444	2006
8	"Daikokucho"	34.6561	135.4977	1933
9	"Dainichi"	34.7492	135.5784	1983
10	"Deto"	34.608862	135.566225	1967
11	"Dobutsuen-mae"	34.648816	135.504411	1933
12	"Dome-maeChiyozaki"	34.670717	135.479321	1997
13	"Ebisucho"	34.656239	135.505637	1969
14	"Esaka"	34.7588	135.4967	1933
15	"FerryTerminal"	34.619242	135.434883	1981
16	"Fukaebashi"	34.679167	135.557222	1961
17	"Fuminosato"	34.6354	135.5181	1967
18	"GamoYonchome"	34.700366	135.546292	1990
19	"Hanazonocho"	34.6431	135.4959	1942
20	"Higashi-Mikuni"	34.7408	135.4987	1933
21	"Higashi-Umeda"	34.70103	135.499706	1967
22	"Higobashi"	34.691351	135.496388	1965
23	"Hirabayashi"	34.610556	135.458611	1981
24	"Hirano"	34.63075	135.551722	1967
25	"Hommachi"	34.681906	135.498978	1933
26	"Imafuku-Tsurumi"	34.7018	135.56	1990
27	"Imazato"	34.668666	135.54429	1969
28	"Itakano"	34.75992	135.547236	2006
29	"Kadoma-minami"	34.7171	135.5926	1990
30	"Kire-Uriwari"	34.6095	135.5519	1967
31	"Kishinosato"	34.634364	135.493848	1942
32	"Kita-Tatsumi"	34.652982	135.554962	1969
33	"Kitahama"	34.69159	135.506637	1969
34	"Kitahanada"	34.5816	135.5166	1933
35	"Kitakagaya"	34.621272	135.478849	1942
36	"Komagawa-Nakano"	34.6215	135.533036	1967
37	"Kujo"	34.675556	135.473889	1961
38	"Kyobashi"	34.696603	135.534122	1990
39	"Matsuyamachi"	34.6754	135.5126	1990
40	"Midoribashi"	34.680734	135.544639	1961
41	"Minami-Tatsumi"	34.643262	135.553297	1969
42	"Minami-morimachi"	34.697698	135.511017	1967
43	"Miyakojima"	34.709	135.5256	1967
44	"Moriguchi"	34.7379	135.5639	1967
45	"Morinomiya"	34.681096	135.533843	1961
46	"Nagahara"	34.604318	135.57395	1967
47	"Nagahoribashi"	34.6745	135.5061	1969
48	"Nagai"	34.611028	135.5125	1960
49	"Nagata"	34.678764	135.591907	1961
50	"Nakafuto"	34.63432	135.417352	1981
51	"Nakamozu"	34.556028	135.505139	1933
52	"Nakatsu"	34.711075	135.496929	1964
53	"Nakazakicho"	34.7068	135.5053	1967
54	"Namba"	34.666314	135.500275	1935
55	"Nanko-higashi"	34.613846	135.438638	1981
56	"Nankoguchi"	34.613811	135.445966	1981
57	"Nippombashi"	34.667147	135.506636	1969
58	"Nishi-Nagahori"	34.6755	135.4871	1969
59	"Nishi-Umeda"	34.699593	135.495661	1942
60	"Nishinakajima-Minamigata"	34.7265	135.4984	1933
61	"Nishiohashi"	34.6753	135.4937	1990
62	"Nishitanabe"	34.621627	135.515153	1933
63	"Nodahanshin"	34.694608	135.474881	1969
64	"Noe-Uchindai"	34.7091	135.5382	1967
65	"Ogimachi"	34.703809	135.5108	1969
66	"OsakaBusinessPark"	34.692134	135.529688	1990
67	"Osakako"	34.654	135.4345	1961
68	"PortTown-higashi"	34.630913	135.429196	1981
69	"PortTown-nishi"	34.630948	135.422823	1981
70	"Sakaisuji-Hommachi"	34.681861	135.506911	1961
71	"Sakuragawa"	34.668423	135.488838	1969
72	"Sekime-Seiiku"	34.7129	135.5465	2006
73	"Sekime-Takadono"	34.715195	135.545792	1967
74	"Sembayashi-Omiya"	34.724	135.5491	1967
75	"Shigino"	34.6926	135.5453	2006
76	"Shimizu"	34.722532	135.560689	2006
77	"Shimmori-Furuichi"	34.7152	135.558	2006
78	"Shin-Fukae"	34.6679	135.5541	1969
79	"Shin-Osaka"	34.733472	135.500083	1964
80	"Shinkanaoka"	34.5672	135.5148	1933
81	"Shinsaibashi"	34.675022	135.500308	1933
82	"Shitennoji-maeYuhigaoka"	34.6584	135.5139	1967
83	"Shoji"	34.6613	135.5565	1969
84	"Showacho"	34.633559	135.516964	1933
85	"Suminoekoen"	34.609167	135.471944	1942
86	"Taishibashi-Imaichi"	34.731381	135.554936	1967
87	"Taisho"	34.665806	135.479333	1990
88	"Takaida"	34.678611	135.573056	1961
89	"Tamade"	34.624062	135.490544	1942
90	"Tamagawa"	34.6893	135.4765	1969
91	"Tamatsukuri"	34.673523	135.532829	1990
92	"Tanabe"	34.6285	135.5255	1967
93	"TanimachiKyuchome"	34.666725	135.515741	1961
94	"TanimachiRokuchome"	34.674917	135.516937	1967
95	"TanimachiYonchome"	34.681906	135.517258	1961
96	"Temmabashi"	34.689022	135.517361	1967
97	"Tengachaya"	34.637189	135.496744	1993
98	"TenjimbashisujiRokuchome"	34.710604	135.510786	1967
99	"Tennoji"	34.647367	135.513911	1938
100	"TradeCenter-mae"	34.6388	135.4122	1981
101	"Tsuruhashi"	34.665238	135.529927	1969
102	"Tsurumi-ryokuchi"	34.7109	135.5805	1990
103	"Umeda"	34.702839	135.497743	1933
104	"Yaominami"	34.5972	135.5825	1967
105	"Yodoyabashi"	34.692317	135.501004	1933
106	"Yokozutsumi"	34.7034	135.5729	1990
107	"Yotsubashi"	34.674097	135.496778	1942
108	"ZuikoYonchome"	34.752322	135.544617	2006
