"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"Name"	"Latitude"	"Longitude"	"Date"
2	"Soyosan"	"37.948611"	"127.060833"	"2006"
3	"Dongducheon"	"37.927913"	"127.054771"	"2006"
4	"Bosan"	"37.913745"	"127.05725"	"2006"
5	"Dongducheonjungang"	"37.902385"	"127.056279"	"2006"
6	"Jihaeng"	"37.892222"	"127.055556"	"2006"
7	"Deokjeong"	"37.844397"	"127.061364"	"2006"
8	"Deokgye"	"37.818726"	"127.056434"	"2007"
9	"Yangju"	"37.774444"	"127.044722"	"2006"
10	"Nogyang"	"37.758889"	"127.041944"	"2006"
11	"Ganeung"	"37.748333"	"127.044167"	"2006"
12	"Uijeongbu"	"37.738056"	"127.046111"	"1986"
13	"Hoeryong"	"37.723611"	"127.047778"	"1986"
14	"Mangwolsa"	"37.710278"	"127.0475"	"1986"
15	"Dobongsan"	"37.689444"	"127.045833"	"1986"
16	"Dobong"	"37.679167"	"127.045278"	"1986"
17	"Banghak"	"37.667222"	"127.044167"	"1986"
18	"Chang-dong"	"37.6525"	"127.046944"	"1986"
19	"Nokcheon"	"37.644722"	"127.050833"	"1985"
20	"Wolgye"	"37.631667"	"127.058056"	"1985"
21	"Seongbuk"	"37.623056"	"127.061389"	"1985"
22	"Seokgye"	"37.614722"	"127.065278"	"1985"
23	"Sinimun"	"37.6025"	"127.0675"	"1980"
24	"HankukUniversity"	"37.595"	"127.062778"	"1980"
25	"Hoegi"	"37.589167"	"127.057222"	"1980"
26	"Cheongnyangni"	"37.58"	"127.045"	"1974"
27	"Jegi-dong"	"37.577778"	"127.034722"	"1974"
28	"Sinseol-dong"	"37.574444"	"127.022778"	"1974"
29	"Dongmyo"	"37.572963"	"127.015622"	"1974"
30	"Dongdaemun"	"37.570556"	"127.008333"	"1974"
31	"Jongno5-ga"	"37.570833"	"127.001944"	"1974"
32	"Jongno3-ga"	"37.57"	"126.991667"	"1974"
33	"Jonggak"	"37.570278"	"126.983056"	"1974"
34	"CityHall"	"37.564722"	"126.976944"	"1974"
35	"SeoulStation"	"37.555023"	"126.972449"	"1974"
36	"Namyeong"	"37.540556"	"126.971389"	"1984"
37	"Yongsan"	"37.53"	"126.964722"	"1984"
38	"Noryangjin"	"37.514444"	"126.942778"	"1984"
39	"Daebang"	"37.513333"	"126.926389"	"1984"
40	"Singil"	"37.516944"	"126.9175"	"1998"
41	"Yeongdeungpo"	"37.515556"	"126.907778"	"1984"
42	"Sindorim"	"37.509167"	"126.891111"	"1984"
43	"Guro"	"37.503056"	"126.882222"	"1974"
44	"Guil"	"37.496111"	"126.869722"	"1995"
45	"Gaebong"	"37.494626"	"126.858471"	"1974"
46	"Oryu-dong"	"37.49452"	"126.845307"	"1974"
47	"Onsu"	"37.492171"	"126.822712"	"1988"
48	"Yeokgok"	"37.485117"	"126.811586"	"1974"
49	"Sosa"	"37.482712"	"126.795241"	"1997"
50	"Bucheon"	"37.484036"	"126.783063"	"1974"
51	"Jung-dong"	"37.486573"	"126.764792"	"1987"
52	"Songnae"	"37.487616"	"126.753505"	"1974"
53	"Bugae"	"37.488442"	"126.74099"	"1996"
54	"Bupyeong"	"37.489591"	"126.723387"	"1974"
55	"Baegun"	"37.483572"	"126.707602"	"1984"
56	"Dongam"	"37.471346"	"126.702892"	"1974"
57	"Ganseok"	"37.464729"	"126.694164"	"1994"
58	"Juan"	"37.464942"	"126.679997"	"1974"
59	"Dohwa"	"37.466049"	"126.668774"	"2001"
60	"Jemulpo"	"37.466783"	"126.6568"	"1974"
61	"Dowon"	"37.468675"	"126.642314"	"1994"
62	"Dongincheon"	"37.475153"	"126.632864"	"1974"
63	"Incheon"	"37.475883"	"126.616708"	"1975"
64	"GasanDigitalComplex"	"37.480465"	"126.88304"	"1979"
65	"Doksan"	"37.465556"	"126.889722"	"1998"
66	"Geumcheon-guOffice"	"37.455556"	"126.894167"	"1979"
67	"Seoksu"	"37.434444"	"126.9025"	"1979"
68	"Gwanak"	"37.418889"	"126.909167"	"1979"
69	"Anyang"	"37.402222"	"126.9225"	"1979"
70	"Myeonghak"	"37.385"	"126.935556"	"1979"
71	"Geumjeong"	"37.3725"	"126.943333"	"1988"
72	"Gunpo"	"37.353611"	"126.948611"	"1979"
73	"Uiwang"	"37.321111"	"126.948333"	"1979"
74	"SungkyunkwanUniversity"	"37.300278"	"126.972222"	"1979"
75	"Hwaseo"	"37.285"	"126.988889"	"1979"
76	"Suwon"	"37.266111"	"126.999722"	"1979"
77	"Seryu"	"37.244167"	"127.014167"	"2003"
78	"Byeongjeom"	"37.206667"	"127.033056"	"2003"
79	"Sema"	"37.1875"	"127.043333"	"2005"
80	"OsanCollege"	"37.169444"	"127.063056"	"2005"
81	"Osan"	"37.145556"	"127.067222"	"2005"
82	"Jinwi"	"37.110278"	"127.070278"	"2006"
83	"Songtan"	"37.075278"	"127.054167"	"2005"
84	"Seojeong-ri"	"37.056389"	"127.053889"	"2005"
85	"Jije"	"37.018889"	"127.070278"	"2006"
86	"Pyeongtaek"	"37.99"	"127.086944"	"2005"
87	"Seonghwan"	"36.915556"	"127.127778"	"2005"
88	"Jiksan"	"36.870833"	"127.143889"	"2005"
89	"Dujeong"	"36.833889"	"127.149167"	"2005"
90	"Cheonan"	"36.80956"	"127.146621"	"2005"
91	"Bongmyeong"	"36.801141"	"127.135527"	"2008"
92	"Ssangyong"	"36.793792"	"127.121197"	"2008"
93	"Cheonan-Asan"	"36.794383"	"127.104522"	"2008"
94	"Baebang"	"36.778441"	"127.054782"	"2008"
95	"Onyangoncheon"	"36.780556"	"127.003333"	"2008"
96	"Sinchang"	"36.769628"	"126.950811"	"2008"
97	"CityHall"	"37.564722"	"126.976944"	"1984"
98	"Euljiro1-ga"	"37.566111"	"126.9825"	"1983"
99	"Euljiro3-ga"	"37.566294"	"126.992781"	"1983"
100	"Euljiro4-ga"	"37.566667"	"126.998056"	"1983"
101	"DongdaemunStadium"	"37.565"	"127.007778"	"1983"
102	"Sindang"	"37.565331"	"127.016217"	"1983"
103	"Sangwangsimni"	"37.564167"	"127.029444"	"1983"
104	"Wangsimni"	"37.561667"	"127.037778"	"1983"
105	"HanyangUniversity"	"37.555278"	"127.043611"	"1983"
106	"Ttukseom"	"37.547222"	"127.0475"	"1983"
107	"Seongsu"	"37.544444"	"127.056111"	"1980"
108	"KonkukUniversity"	"37.539933"	"127.070607"	"1980"
109	"Guui"	"37.538056"	"127.085833"	"1980"
110	"Gangbyeon"	"37.535"	"127.094722"	"1980"
111	"Seongnae"	"37.520278"	"127.103889"	"1980"
112	"Jamsil"	"37.513333"	"127.100278"	"1980"
113	"Sincheon"	"37.511389"	"127.086111"	"1980"
114	"SportsComplex"	"37.511111"	"127.073611"	"1980"
115	"Samseong"	"37.508744"	"127.063519"	"1982"
116	"Seolleung"	"37.50445"	"127.048986"	"1982"
117	"Yeoksam"	"37.500786"	"127.036886"	"1982"
118	"Gangnam"	"37.497928"	"127.027583"	"1982"
119	"SeoulNatlUnivofEduc"	"37.493611"	"127.013611"	"1982"
120	"Seocho"	"37.491944"	"127.008056"	"1983"
121	"Bangbae"	"37.481389"	"126.997778"	"1983"
122	"Sadang"	"37.476389"	"126.981667"	"1983"
123	"Nakseongdae"	"37.476944"	"126.963889"	"1983"
124	"SeoulNationalUniversity"	"37.481111"	"126.952778"	"1983"
125	"Bongcheon"	"37.4825"	"126.941944"	"1984"
126	"Sillim"	"37.484167"	"126.929722"	"1984"
127	"Sindaebang"	"37.487222"	"126.913056"	"1984"
128	"GuroDigitalComplex"	"37.485278"	"126.901389"	"1984"
129	"Daerim"	"37.493333"	"126.895"	"1984"
130	"Sindorim"	"37.509167"	"126.891111"	"1984"
131	"Mullae"	"37.518889"	"126.895"	"1984"
132	"Yeongdeungpo-guOffice"	"37.524039"	"126.89622"	"1984"
133	"Dangsan"	"37.534444"	"126.902222"	"1984"
134	"Hapjeong"	"37.549167"	"126.913611"	"1984"
135	"HongikUniversity"	"37.556667"	"126.923611"	"1984"
136	"Sinchon"	"37.555278"	"126.936944"	"1984"
137	"EwhaWomansUniversity"	"37.556667"	"126.945833"	"1984"
138	"Ahyeon"	"37.557411"	"126.956158"	"1984"
139	"Chungjeongno"	"37.56"	"126.963611"	"1984"
140	"CityHall"	"37.564722"	"126.976944"	"1984"
141	"Yongdap"	"37.561895"	"127.050903"	"1983"
142	"Sindap"	"37.570038"	"127.046451"	"1983"
143	"Yongdu"	"37.573996"	"127.038093"	"2005"
144	"Sinseol-dong"	"37.574444"	"127.022778"	"1980"
145	"Dorimcheon"	"37.514444"	"126.882778"	"1992"
146	"Yangcheon-guOffice"	"37.512222"	"126.865556"	"1992"
147	"Sinjeongnegeori"	"37.52"	"126.852778"	"1996"
148	"Kkachisan"	"37.531667"	"126.846667"	"1996"
149	"Daehwa"	"37.676111"	"126.7475"	"1996"
150	"Juyeop"	"37.670158"	"126.761244"	"1996"
151	"Jeongbalsan"	"37.659675"	"126.773292"	"1996"
152	"Madu"	"37.652143"	"126.777624"	"1996"
153	"Baekseok"	"37.643024"	"126.787961"	"1996"
154	"Daegok"	"37.630875"	"126.810533"	"1996"
155	"Hwajeong"	"37.634553"	"126.832668"	"1996"
156	"Wondang"	"37.653332"	"126.843059"	"1996"
157	"Samsong"	"37.653052"	"126.895657"	"1996"
158	"Jichuk"	"37.647989"	"126.913912"	"1990"
159	"Gupabal"	"37.636762"	"126.918815"	"1985"
160	"Yeonsinnae"	"37.618825"	"126.921358"	"1985"
161	"Bulgwang"	"37.610913"	"126.929496"	"1985"
162	"Nokbeon"	"37.600959"	"126.93566"	"1985"
163	"Hongje"	"37.588693"	"126.9442"	"1985"
164	"Muakjae"	"37.582312"	"126.950299"	"1985"
165	"Dongnimmun"	"37.57437"	"126.958002"	"1985"
166	"Gyeongbokgung"	"37.575752"	"126.973549"	"1985"
167	"Anguk"	"37.576496"	"126.985431"	"1985"
168	"Jongno3-ga"	"37.57"	"126.991667"	"1985"
169	"Euljiro3-ga"	"37.566294"	"126.992781"	"1985"
170	"Chungmuro"	"37.56127"	"126.994314"	"1985"
171	"DonggukUniversity"	"37.559067"	"127.005435"	"1985"
172	"Yaksu"	"37.554759"	"127.010611"	"1985"
173	"Geumho"	"37.547993"	"127.015858"	"1985"
174	"Oksu"	"37.54061"	"127.01888"	"1985"
175	"Apgujeong"	"37.527077"	"127.028443"	"1985"
176	"Sinsa"	"37.516279"	"127.020053"	"1985"
177	"Jamwon"	"37.51287"	"127.011352"	"1985"
178	"ExpressBusTerminal"	"37.504913"	"127.004909"	"1985"
179	"SeoulNatlUnivofEduc"	"37.493611"	"127.013611"	"1985"
180	"NambuBusTerminal"	"37.484986"	"127.016249"	"1985"
181	"Yangjae"	"37.484522"	"127.033904"	"1985"
182	"Maebong"	"37.48708"	"127.046971"	"1993"
183	"Dogok"	"37.490868"	"127.055351"	"1993"
184	"Daechi"	"37.494554"	"127.063445"	"1993"
185	"Hangnyeoul"	"37.496567"	"127.070183"	"1993"
186	"Daecheong"	"37.493588"	"127.079512"	"1993"
187	"Irwon"	"37.4837"	"127.084372"	"1993"
188	"Suseo"	"37.487305"	"127.101619"	"1993"
189	"Danggogae"	"37.669583"	"127.079367"	"1993"
190	"Sanggye"	"37.661057"	"127.073434"	"1985"
191	"Nowon"	"37.65636"	"127.063553"	"1985"
192	"Chang-dong"	"37.6525"	"127.046944"	"1985"
193	"Ssangmun"	"37.648656"	"127.03473"	"1985"
194	"Suyu"	"37.638041"	"127.02568"	"1985"
195	"Mia"	"37.626477"	"127.026072"	"1985"
196	"Miasamgeori"	"37.613165"	"127.030052"	"1985"
197	"Gireum"	"37.603323"	"127.024956"	"1985"
198	"SungshinWomensUniv"	"37.592595"	"127.016319"	"1985"
199	"HansungUniversity"	"37.588472"	"127.006202"	"1985"
200	"Hyehwa"	"37.582176"	"127.001873"	"1985"
201	"Dongdaemun"	"37.570556"	"127.008333"	"1985"
202	"DongdaemunStadium"	"37.565"	"127.007778"	"1985"
203	"Chungmuro"	"37.56127"	"126.994314"	"1985"
204	"Myeong-dong"	"37.560925"	"126.986396"	"1985"
205	"Hoehyeon"	"37.558523"	"126.978242"	"1985"
206	"SeoulStation"	"37.555023"	"126.972449"	"1985"
207	"SookmyungWomensUniv"	"37.544577"	"126.9721"	"1985"
208	"Samgakji"	"37.535543"	"126.973956"	"1985"
209	"Sinyongsan"	"37.529157"	"126.967884"	"1985"
210	"Ichon"	"37.52254"	"126.97316"	"1985"
211	"Dongjak"	"37.502713"	"126.980367"	"1985"
212	"Isu-ChongshinUniversity"	"37.485394"	"126.982158"	"1985"
213	"Sadang"	"37.476389"	"126.981667"	"1985"
214	"Namtaeryeong"	"37.463856"	"126.989143"	"1994"
215	"Seonbawi"	"37.451712"	"127.002291"	"1994"
216	"SeoulRacecoursePark"	"37.443701"	"127.007908"	"1994"
217	"SeoulGrandPark"	"37.435659"	"127.006545"	"1994"
218	"Gwacheon"	"37.432963"	"126.996256"	"1994"
219	"GovernmentComplexGwacheon"	"37.426501"	"126.989653"	"1994"
220	"Indeogwon"	"37.401631"	"126.976724"	"1993"
221	"Pyeongchon"	"37.394297"	"126.963847"	"1993"
222	"Beomgye"	"37.38965"	"126.950614"	"1993"
223	"Geumjeong"	"37.3725"	"126.943333"	"1988"
224	"Sanbon"	"37.358049"	"126.933095"	"1988"
225	"Surisan"	"37.349605"	"126.925306"	"1988"
226	"Daeyami"	"37.328545"	"126.91734"	"1988"
227	"Banwol"	"37.31218"	"126.903484"	"1988"
228	"Sangnoksu"	"37.302797"	"126.866448"	"1988"
229	"HanyangUniv-Ansan"	"37.309772"	"126.853581"	"1988"
230	"Jungang"	"37.315958"	"126.838642"	"1988"
231	"Gojan"	"37.316817"	"126.823128"	"1988"
232	"Gongdan"	"37.320299"	"126.806265"	"1988"
233	"Ansan"	"37.327163"	"126.788562"	"1985"
234	"SingilOncheon"	"37.338513"	"126.765302"	"1985"
235	"Jeongwang"	"37.351631"	"126.743098"	"1985"
236	"Oido"	"37.362163"	"126.737782"	"2000"
237	"Banghwa"	"37.5775"	"126.812778"	"1996"
238	"Gaehwasan"	"37.572222"	"126.806111"	"1996"
239	"GimpoAirport"	"37.5625"	"126.800833"	"1996"
240	"Songjeong"	"37.561111"	"126.811944"	"1996"
241	"Magok"	"37.560224"	"126.824734"	"1996"
242	"Balsan"	"37.558611"	"126.837222"	"1996"
243	"Ujangsan"	"37.548889"	"126.836389"	"1996"
244	"Hwagok"	"37.541667"	"126.840278"	"1996"
245	"Kkachisan"	"37.531667"	"126.846667"	"1996"
246	"Sinjeong"	"37.525018"	"126.856256"	"1996"
247	"Mok-dong"	"37.52609"	"126.864828"	"1996"
248	"Omokgyo"	"37.524512"	"126.875144"	"1996"
249	"Yangpyeong"	"37.525579"	"126.886109"	"1996"
250	"Yeongdeungpo-guOffice"	"37.524039"	"126.89622"	"1996"
251	"YeongdeungpoMarket"	"37.522686"	"126.90505"	"1996"
252	"Singil"	"37.516944"	"126.9175"	"1996"
253	"Yeouido"	"37.521661"	"126.924271"	"1996"
254	"Yeouinaru"	"37.527124"	"126.93294"	"1996"
255	"Mapo"	"37.539545"	"126.945906"	"1996"
256	"Gongdeok"	"37.543876"	"126.95098"	"1996"
257	"Aeogae"	"37.553454"	"126.956667"	"1996"
258	"Chungjeongno"	"37.56"	"126.963611"	"1996"
259	"Seodaemun"	"37.565637"	"126.9665"	"1996"
260	"Gwanghwamun"	"37.571594"	"126.976574"	"1996"
261	"Jongno3-ga"	"37.57"	"126.991667"	"1996"
262	"Euljiro4-ga"	"37.566667"	"126.998056"	"1996"
263	"DongdaemunStadium"	"37.565"	"127.007778"	"1996"
264	"Cheonggu"	"37.560211"	"127.013755"	"1996"
265	"Singeumho"	"37.554555"	"127.020455"	"1996"
266	"Haengdang"	"37.557434"	"127.029666"	"1996"
267	"Wangsimni"	"37.561667"	"127.037778"	"1995"
268	"Majang"	"37.5661"	"127.042905"	"1995"
269	"Dapsimni"	"37.566823"	"127.052642"	"1995"
270	"Janghanpyeong"	"37.56144"	"127.064588"	"1995"
271	"Gunja"	"37.557124"	"127.079469"	"1995"
272	"Achasan"	"37.552161"	"127.08949"	"1995"
273	"Gwangnaru"	"37.545326"	"127.103459"	"1995"
274	"Cheonho"	"37.538517"	"127.123767"	"1995"
275	"Gangdong"	"37.535904"	"127.132244"	"1995"
276	"Gil-dong"	"37.538371"	"127.14021"	"1995"
277	"Gubeundari"	"37.545492"	"127.142866"	"1995"
278	"Myeongil"	"37.551535"	"127.144008"	"1995"
279	"Godeok"	"37.55504"	"127.154168"	"1995"
280	"Sangil-dong"	"37.556635"	"127.16574"	"1995"
281	"Dunchon-dong"	"37.527796"	"127.13623"	"1996"
282	"OlympicPark"	"37.516211"	"127.130924"	"1996"
283	"Bangi"	"37.508756"	"127.126091"	"1996"
284	"Ogeum"	"37.502236"	"127.12769"	"1996"
285	"Gaerong"	"37.498053"	"127.134814"	"1996"
286	"Geoyeo"	"37.493298"	"127.143729"	"1996"
287	"Macheon"	"37.494992"	"127.152768"	"1996"
288	"Eungam"	"37.598622"	"126.915559"	"2000"
289	"Yeokchon"	"37.606072"	"126.922726"	"2000"
290	"Bulgwang"	"37.610913"	"126.929496"	"2000"
291	"Dokbawi"	"37.618455"	"126.932983"	"2000"
292	"Yeonsinnae"	"37.618825"	"126.921358"	"2000"
293	"Gusan"	"37.61124"	"126.917233"	"2000"
294	"Eungam"	"37.598622"	"126.915559"	"2000"
295	"Saejeol"	"37.591422"	"126.913692"	"2000"
296	"Jeungsan"	"37.584119"	"126.909894"	"2000"
297	"DigitalMediaCity"	"37.576874"	"126.901794"	"2000"
298	"WorldCupStadium"	"37.569459"	"126.899305"	"2000"
299	"Mapo-guOffice"	"37.563511"	"126.90328"	"2000"
300	"Mangwon"	"37.556014"	"126.910082"	"2000"
