"nodeID"	"nodeLabel"	"latitude"	"longitude"	"year"
1	"AerospaceMuseum"	31.0636	121.507	2009
2	"AnshanXincun"	31.2753	121.504	2007
3	"Anting"	31.290278	121.156944	2010
4	"BaiyinRoad"	31.346944	121.240556	2009
5	"BaoanHighway"	31.3711	121.426	2007
6	"BaoshanRoad"	31.2533	121.471	2000
7	"BaoyangRoad"	31.3969	121.474	2000
8	"Beiqiao"	31.0469	121.405	2003
9	"Beixinjing"	31.2178	121.372	2000
10	"BeiyangjingRoad"	31.241111	121.5475	2007
11	"BoxingRoad"	31.2656	121.582	2007
12	"CaobaoRoad"	31.1703	121.431	2007
13	"CaohejingHi-TechPark"	31.1728	121.393	2007
14	"CaoxiRoad"	31.1786	121.433	2000
15	"CaoyangRoad"	31.2411	121.413	2000
16	"CenturyAvenue"	31.2311	121.522	2000
17	"CenturyPark"	31.2119	121.547	2000
18	"ChangpingRoad"	31.236389	121.437222	2009
19	"ChangqingRoad"	31.1772	121.483	2009
20	"ChangshouRoad"	31.241944	121.433333	2009
21	"ChangshuRoad"	31.215	121.446	1995
22	"ChangzhongRoad"	31.305	121.408333	2009
23	"ChengshanRoad"	31.1722	121.491	2009
24	"ChifengRoad"	31.2828	121.478	2000
25	"ChuanchangRoad"	31.185	121.453	2009
26	"Chuansha"	31.1883	121.693	2010
27	"ChunshenRoad"	31.1	121.381	2003
28	"Dabaishu"	31.2911	121.479	2000
29	"DachangTown"	31.295	121.411389	2009
30	"DahuasanRoad"	31.2764	121.418	2009
31	"DalianRoad"	31.2606	121.508	2005
32	"DamuqiaoRoad"	31.1958	121.459	2005
33	"Dapuqiao"	31.2075	121.463889	2007
34	"Dashijie"	31.2294	121.473	2007
35	"DepingRoad"	31.2475	121.559	2007
36	"DonganRoad"	31.1925	121.45	2005
37	"DongbaoxingRoad"	31.2614	121.476	2000
38	"DongchangRoad"	31.2358	121.51	2000
39	"DongchuanRoad"	31.02	121.415	2003
40	"Dongjing"	31.0869	121.226	2007
41	"DongjingRoad"	31.2928	121.584	2007
42	"DongmingRoad"	31.175	121.506111	2007
43	"EastHuaxiaRoad"	31.1989	121.677	2010
44	"EastNanjingRoad"	31.239722	121.479722	1999
45	"EastXujing"	31.190556	121.295278	2010
46	"EastYingaoRoad"	31.3236	121.502	2010
47	"FanghuaRoad"	31.195556	121.545833	2009
48	"FengqiaoRoad"	31.243889	121.405833	2009
49	"FujinRoad"	31.393889	121.420278	1995
50	"GangchengRoad"	31.355	121.57	2007
51	"GaoqingRoad"	31.158611	121.5125	2007
52	"GongfuXincun"	31.355048	121.434202	2007
53	"GongkangRoad"	31.318889	121.443056	1995
54	"GuanglanRoad"	31.2131	121.619	2010
55	"GucunPark"	31.346389	121.368056	2010
56	"GuilinRoad"	31.1767	121.412	2007
57	"GuoquanRoad"	31.291389	121.505556	2010
58	"HailunRoad"	31.2606	121.484	2007
59	"HaitiansanRoad"	31.1703	121.793	2010
60	"HangjinRoad"	31.3372	121.59	2007
61	"HangzhongRoad"	31.166944	121.349167	1995
62	"HanzhongRoad"	31.2436	121.452	1995
63	"HechuanRoad"	31.1686	121.379	2007
64	"HengshanRoad"	31.2081	121.443	1995
65	"HongkouFootballStadium"	31.2728	121.474	2007
66	"HongqiaoAirportTerminal1"	31.1933	121.342	2010
67	"HongqiaoAirportTerminal2"	31.1969	121.326	2010
68	"HongqiaoRailwayStation"	31.1958	121.308	2010
69	"HongqiaoRoad"	31.1994	121.416	2000
70	"Houtan"	31.1742	121.469	2010
71	"HuamuRoad"	31.212222	121.558611	2009
72	"HuangxingPark"	31.2975	121.529	2007
73	"HuangxingRoad"	31.2811	121.524	2007
74	"HuaningRoad"	31.0092	121.39	2003
75	"HulanRoad"	31.3417	121.433	1995
76	"JiadingXincheng"	31.3325	121.249444	2009
77	"JianchuanRoad"	31.0281	121.412	2009
78	"JiangpuRoad"	31.2772	121.512	2007
79	"JiangsuRoad"	31.2217	121.427	2000
80	"JiangwanStadium"	31.305833	121.509444	2010
81	"JiangwanTown"	31.3072	121.481	2000
82	"JiangyueRoad"	31.0861	121.504	2009
83	"JiaoTongUniversity"	31.2039	121.43	2010
84	"JiashanRoad"	31.204722	121.455833	2007
85	"JinganTemple"	31.225	121.442	2000
86	"JinjiangPark"	31.1439	121.409	1995
87	"JinkeRoad"	31.2064	121.597	2010
88	"JinpingRoad"	31.0131	121.405	2003
89	"JinqiaoRoad"	31.2592	121.577	2007
90	"JinshajiangRoad"	31.2342	121.408	2000
91	"JinxiuRoad"	31.189722	121.534722	2009
92	"Jiuting"	31.1394	121.314	2007
93	"JiyangRoad"	31.155278	121.475	2010
94	"JufengRoad"	31.2828	121.584	2007
95	"LancunRoad"	31.2139	121.523	2005
96	"LangaoRoad"	31.258333	121.416944	2009
97	"Laoximen"	31.220278	121.479167	2007
98	"LianhangRoad"	31.0756	121.506	2009
99	"LianhuaRoad"	31.1325	121.398	1995
100	"LingkongRoad"	31.1944	121.719	2010
101	"LingzhaoXincun"	31.1425	121.485	2009
102	"LinpingRoad"	31.2669	121.495	2005
103	"LinyiXincun"	31.194722	121.511667	2007
104	"Liziyuan"	31.270556	121.385556	2009
105	"LongbaiXincun"	31.178611	121.365556	2010
